,asin,reviewer,country,overall,title,review
76688,tt0211915,abgkasjlkasjla,denmark,8,"Charming... but I don't think I ""got"" it","After hearing so many wildly positive comments on this film, I decided to watch it... and when I found it on the bargain rack(we aren't quite as clever with sales rhymes here in Denmark), I bought it. While the film captured me immediately with its unique style and the interesting, amusing story-telling, I found myself lost in the plot and the various actions of the characters. This was more noticeable in the latter half. Maybe it's a cultural difference, I don't know(it may also be because this isn't meant to be understood or analyzed... something I have a tendency to subject all things in life to). The main reason I watched this(positive feedback sounds good, but I've never been one to follow popular opinion) is that I'm interested in the work of the director... Jean-Pierre Jeunet. So far, I've only seen Alien: Resurrection, but I've heard fabulous things about Delicatessen from a man whose opinion I hold a great deal of trust and respect for, in particular when it comes to movies. Jeunet has a peculiar style and an unusual(occasionally bordering on the downright bizarre)sense of humor. The film clearly doesn't take place in our world... the line between the real and that which is fantasy is blurred to the point in which it doesn't exist. Normally, I'm not interested in fairy tales(and that may very well be the reason why I didn't get this film), but I found this quite charming. Everything is pretty and has a magical reason behind it. The comedy in the film is also extraordinary... it's so human, so light and delightful. Nothing crude, never offensive(except for, I suppose, to puritans) and somehow sweet. Like the naive little girl the film revolves around. I didn't quite agree with all the actions Ms. Poulain took in effort to uphold justice, but I am known to have(or attempt to have) a soft spot for most anyone, no matter their actions. As I hinted at before, the film is more... shall we say ""free"" than, for example, American films. The limits for what can be shown are looser, for better or for worse. Personally, I wasn't bothered by it, but if you think you might be, you may wish to skip this one. Most everyone who can watch this should, however... it is a welcome trip back to one's childhood, with the imaginative visuals and soft, light tone. Now, to anyone who doesn't speak French(including yours truly), you must view this with subtitles(I haven't heard of a dubbed version, and I personally find the idea of dubbing any movie appalling, unless it is a children's film and to be viewed only by children or people who haven't been blessed with the schooling necessary to be able to read; you should show the filmmakers the respect of viewing their work as they intended it). Personally, being Danish(I read once that we in this country have had just about everything subbed since some time in the early decades of the previous century), I'm not only entirely used to it, I have no problem with it(though with films like this and Der Untergang(and of course the works of Alejandro Amenǭbar), one is reminded to read them, as I cannot understand much of anything spoken; quite different than the case is with all works in the English language, where I only read on occasion, and often simply to pick out mistakes made by the Danish-born(and often linguistically incompetent) translators). People from other countries may experience difficulty at getting used to it, however. The cinematography is stunning beyond words. Acting, editing, score... basically everything seemed flawless to me. Apart from not understanding much of what goes on for the last part of the film, I enjoyed this. I recommend it to anyone who can watch a fun, light film with a great imagination. And if nudity or sexual content bothers you, you may want to ask someone who knows you and the film to either detail it or to estimate whether or not you can handle it. 8/10  "
77303,tt0180093,abgkasjlkasjla,denmark,10,Divisive,"I have not read the novel upon that this is based upon. This has gotten very mixed reactions... is it almost criminally engaging and effective, or is it MTV-type manipulative drivel? I have to admit, I can't ignore the craftsmanship of this movie, so if you must place me in a booth, I'd be in the former of those two. The stylization is incredible and fitting. Editing and cinematography are accused of being gimmicky, with jump-cuts and this utilizing quite a few different angles and the Snorricam, but I disagree... they're part of Aronofsky's cinematic language. Whether he is a genius or a madman is open to debate. This is not easy to watch. It is rather cruel to the audience, and entirely uncompromising. It deals with addiction, in general, not only to drugs. The writing is impeccable, script, plot and dialog alike. All the characters are credible. The acting is amazing, yes, including Marlon Wayans, and Burstyn is, simply put, excellent, and utterly devastating in her performance. This has masterful music, the score is perfect and beautifully done. The one complaint that I particularly have is that, for three of the four leads, there is little to no explanation in this for how they came to use narcotics. I can imagine many viewers being deeply emotionally affected by this. The language is strong as it gets, and plentiful. While there is not a lot of violence in this, it's filled with disturbing content. There is also graphic sexuality. This is not something to watch if you aren't already relatively hardened. The DVD comes with trailers and TV spots, two of each, deleted scenes with the option of hearing Darren's thoughts on them, during them, a couple of featurettes, and lastly, a commentary track with the director, and one with Matthew Libatique. I recommend this to anyone who enjoys the medium, provided they feel they have the nerves for it. 10/10  "
78555,tt0066921,abgkasjlkasjla,denmark,10,One of the greatest films ever made,"I haven't read the novel that this film is based upon, and I didn't know that much about it before I sat down to see it. I decided to see it after hearing pretty much nothing but praise for the film(in fact, the only negative comments I've ever heard about it is that it deviates too much from the original novel... which is something Kubrick was famous for) and because I immensely enjoyed The Shining and Kubrick's directorial style as seen in it. I must say, it's been quite a while since I saw something so full, spectacular, exhausting and powerful. From the very first frame to the very last... amazing. Kubrick's style is magnificent, his storytelling is among the best ever seen in cinema. With this film he truly captures the raw and pure qualities of violence. I don't think(well, I certainly don't hope) that anyone who ever has or ever will see this film confuses this as an ode or a tribute to violence... this is not, in any way, shape, or form glorifying violence or violent behavior. Quite the contrary, you might say. The film proves, once and for all, that violence spawns violence. Visually, the film is absolutely stunning. The angles, pans, tracking shots... fantastic work. The ideas presented in the film are more than enough to disturb and freak out any normal person... which is(at least part of) the point. If I mention the words 'eyes opened forcefully' you probably already know what I'm talking about, right? That famous sequence has been referenced, spoofed and talked about more times than just about any other visual impression in the history of cinema. The way everyone and everything turns at Alex after he's apparently cured... truly disturbing. I found a surprise at every change in scenery or even in immediate situation, especially in the latter part of the movie. The way society turns against Alex after he rejoins it, apparently a better man... one of the most 'true' and real cinematic truths ever told of humanity. We are beasts, we are what is commonly referred to as 'inhumane'... and Kubrick tells us this in a truly astonishing manner. The plot is very good. It deals with the main character of Alex, beautifully played by Malcolm McDowell, who loves 'a bit of the old ultra-violence'. He is incarcerated and offered a chance to be re-entered to society, after being 'cured' of his psychotic tendencies. The pacing is... well, hard to describe, really... it feels slow, the movie seems to move slowly... but it hardly drags at all. It's exhausting, not to mention hard to sit through, both due to the extreme content and the slowly moving plot, but it's all worth it. The point is pure genius. Pure Kubrick. The acting is flawless... and believe me, that is not a term I use lightly. Every single actor performs perfectly. The characters are perfectly written, credible in every scene and interesting. The cinematography is pure beauty... pure excellence. I've come to love Kubrick's visual style. His cuts of varying speed and intensity, his long takes when dealing with dialog... truly amazing. His use of music is astounding... the use of classical music is great and really adds to the ironic tone and the atmosphere, the mood of the film. This is truly a work of art, and an exhausting but truly worthwhile film. I haven't seen anything quite like it for a while... in fact, maybe I never have. I recommend this to any fan of Kubrick or intelligent theater. If you believe yourself to be perceptive and intelligent enough to understand the film on most or all of its levels(I don't claim to, not at all), or even on the most basic levels, such as theme and morale(which is what I understood of it) then you should, nay, then you *need* to see this film. Be prepared, though, it does contain quite a lot of disturbing themes and ideas, and is not in any way for the faint of heart. 10/10  "
79537,tt0075314,abgkasjlkasjla,denmark,8,Are you talking to me?," This movie is Scorsese's masterpiece; it is a realistic portrayal of one mans reaction to seeing the very extreme nightlife of New York: pushers, psychos, whores, the list goes on. After seeing the movie 4-5 times, I still have to admit, there are some scenes which I don't fully understand, but I can still somewhat appreciate them. Robert DeNiro's acting is superb, as is Cybill Shepherds, and Jodie Fosters. All of them play their respective character convincingly. All of the minor characters are also interesting; most of them are either a psycho, racist or just plain despicable, in some way or another. The transformation that DeNiro's character undertakes, from being a nice, gentle guy, to being a gun-toting self-help psycho, is amazing. It's got some slow scenes, but overall, I recommend this to anyone who likes a psychological drama, or any hardcore DeNiro fan. 8/10.  "
80208,tt0036775,abgkasjlkasjla,denmark,10,"Sort of accidentally, on purpose","I have not read the book or anything concerning the original case, and this is the only version that I've watched. If the novel is this spellbinding, I may have to get a copy. I suppose I should address something before I get into the review itself; yes, the story is quite similar to The Postman Always Rings Twice(and while this is superior, I would definitely suggest giving that one a whirl, too... the original, that is). It's the same author, and they aren't identical. They are also both somewhat reminiscent of Macbeth. Other than that I did not find myself falling in love with these leads(as I did in the Garfield/Turner one), I really cannot complain about this film(and I won't even attempt to argue against the immense chemistry that this duo has; they light the screen on fire). I have not seen a lot of Wilder's work, but I thoroughly enjoyed Some Like It Hot, as well. This is a classic piece of noir, and ought to get a viewing by every fan of such. The brilliant dialog and narration is full of metaphors, plays on words(and the like) and every line is carefully phrased, with several utterly unforgettable exchanges. Editing and cinematography are excellent. The lighting and use of shadows... incredible. This does an amazing job of building suspense and tension. The plot is well-written, and the twists are impeccable. Every acting performance is spot-on. The characters are credible and well-developed, and the women are allowed strong-willed moments. MacMurray is rather cool. There is a little racism and sexism(on account of when it was made), some innuendo and brief mild and not graphic violence in this. I recommend this to everyone into these movies. 10/10  "
80551,tt0056172,abgkasjlkasjla,denmark,10,Beautifully shot epic,"I've heard plenty of things about this movie before I ever found out what it was about. The moment the music now famous as the piece that plays when we first see the desert came on, I recognized it from several movies and TV-shows. Though I didn't realize it until I saw him wearing them, I've seen Lawrence's Arabian clothes many times, several of these before I knew of the movie at all. I think that's what defines a true classic; that you know of it... before you're told. That it's ""everywhere"", in a sense. You can't really go anywhere without hearing about it at some point, because it was such an experience, it had such an impact on people. Everything that came later was in some way influenced by it, affected by it. The first thing that struck me about this film is how beautifully shot it is; at first, I couldn't quite muster up the effort to pay full attention, thinking about how long it would be(ADD victim = yours truly), but when I finally did, I couldn't take my eyes off it again. It was mesmerizing, captivating. I couldn't possibly express through mere words how amazing the visuals are... you have to see for yourself. Some say that the film is 'flashy', but every masterpiece has its critics. I'm certainly not one of this masterpiece's. The plot is well-written and develops nicely throughout the film. The pacing is very good, I was hardly bored at any point watching it(though it is quite a behemoth of a viewing experience... three hours and twenty minutes). The acting is top-notch, and Guinness, Sharif, Quinn and O'Toole are all magnificent. The characters are well-written and credible. The cinematography and editing are both state-of-the-art. Writing in general is excellent. The dialog is truly great, both as far as writing and delivery goes. This movie contains some highly memorable and impressive war scenes, as well, for anyone out there looking for that sort of thing. The film is a timeless classic that should be seen by just about anyone, regardless of their interest in fine film-making(which this is a prime example of) or historical accuracy(which this film seems to have more than its share of). I recommend this to anyone, but I suggest you make sure you have the patience for it. Put it on and watch it until the end. You won't regret it. I certainly didn't. 10/10  "
80846,tt0056592,abgkasjlkasjla,denmark,10,Amazing film," After hearing nothing but critical acclaim for this film, and the book it was based on, I finally got to see it. I am quite amazed at how well done this film is, and how timeless the theme is. I haven't read the book, but I'm considering it, just to see if there are any details that were left out. The story is amazing and exceptionally told. As far as I know, the film is as close to the book as it could possibly be; some call it the most accurate book-to-film conversion ever. The plot is very good, it takes a timeless problem and presents it to us, through the innocent eyes of a naive child. The pace is very good; apart from The Godfather(the first one) and one or two other exceptions, this is the only drama where there was truly not one single moment that I found dull, boring or unimportant. Nothing seemed trivial in the film. The perspective that is forced upon us is that of a young child, naive and innocent. This is a brilliant idea, as the eyes of a child is without a doubt one of the most impressionable things in the world, and the film handles this perfectly. What really makes the film, apart from the brilliant and possibly unique perspective, is the fact that the children are likable, credible and charming. You couldn't help but like them; believe me, normally I really dislike children. I find them annoying, loud and egotistical. But with this film, I couldn't, for one second, muster up any tiny amount of aggression, or even annoyance. They come off as so likable, charming, and, most importantly, *real*. Almost every kid in any Hollywood movie is either a completely ridiculous stereotype/clichǸ of a brat, who does nothing but destroy things around him, or the exact opposite, a little angel. Everyone knows that no child is the latter all the time, and even I will admit that there probably doesn't exist too many children who are the first, either. In this film, the children are completely real. They are naive, innocent, they disobey what their father tells them, but ultimately, they obviously love and respect their father, and they never do anything, anything at all, with the intent to hurt or harm someone or something. That is what a child is; innocent. They do what they do because they do not know better. This film provides a perfect view into their world, or, rather, their perspective of it. The acting is excellent. The child actors exceed all expectations. I was amazed at how professional and convincing they were. The other actors all give great performances as well. The cinematography is excellent; once again, it gives a perfect perspective on what your surroundings look like when you're a child. The characters are well-written, credible and well-casted. The dialog was well-written. The script was excellent. A very memorable and beautiful film, should be viewed by almost anyone. I recommend this to anyone who likes dramas, and just about anyone who for one reason or another might enjoy this. Don't be scared off by it being over forty years old, or it being black and white; it's an excellent film, and just about anyone would enjoy it. Don't miss this perfect film. 10/10   "
81891,tt0338013,abgkasjlkasjla,denmark,10,Truly beautiful and surreal,"Wow... this had me spellbound. Deep, intimate piece. If one wasn't already convinced that Jim Carrey is an actor, not just a comedian, one would be so after taking this in. Winslet does incredible, as well(and both are playing against type), as does everyone else that I can think of(Dunst also impressed me). You have to pay attention during this, and a second viewing may help, but it's not so abstract and loose that it's difficult to understand. This is the third work of Charlie Kaufman's that I've seen(the other two are Being John Malkovich and Confessions of a Dangerous Mind), and by far my favorite. Anyone who has ever loved can relate to this. I can't promise it'll be pleasant, in fact, it's possible that it won't, but this is absolutely absorbing. This is mature, smart and does not try to distance itself, or its audience, from the subject matter. I haven't seen any other work by Gondry, but he directs this magnificently. Masterful visuals, and somehow apparently with little to no CGI. The editing and camera-work are excellent. Story-telling and characterization are of such high quality that I'm not sure words can do them justice. The ambiguity of the final moments is perfect. All of the special effects are amazing. The movie pulls you in, it is thoroughly engaging throughout. I'm not sure any viewer can avoid being affected by this. You may not recognize every scene as something from your own life, but the feelings, the impressions... they're universal. I don't remember when I've last been this into a big screen experience. Anyone who can watch films that are personal, and emotionally powerful should consider this. There is some strong language and sexual content, as well as drug references and the like. The DVD holds two featurettes, one of which I will review on its own page here on the site, interesting deleted scenes, a fake commercial, a music video, and an informative commentary track with the Michel and writer Charlie Kaufman, all of them also well worth your time. I recommend this to anyone who is or has been in a relationship, and who don't need their cinematic experiences spoon-fed. 10/10  "
83869,tt0093058,abgkasjlkasjla,denmark,9,"Very close to perfection, but not entirely there","If I were to describe this movie with one word, I would say 'unsettling'. Then again, I suppose this could be said about most of Stanley Kubrick's films. I've seen a few of his films lately, and have become quite a fan of his work... so far I've seen A Clockwork Orange, 2001: A Space Odyssey and this one(I've seen The Shining as well, but that was before I knew who Kubrick was and what kind of a director he was, so I didn't fully enjoy it). While I think both aforementioned titles are better than this one(if only slightly), I really did like this film. And while it isn't the best war film ever made, it is definitely one of the better. The film consists of two parts(though they aren't really that separated... and they are both parts of the same story), the first part being about the boot camp which trains the Marines, and the second one being about the Vietnam war. Both parts have essentially the same point and theme... and both deliver it quite well. However, there are a few flaws in the film... it seems uneven, somehow. Some of the scenes, especially in the beginning of the second part, seemed pointless and overlong. Kubrick is famed for his uncanny ability to set a mood and keep it, which makes his films more effective and even harder to watch than they were just with the chilling visuals and excellent use of music. However, here, he seemed almost lost for a few scenes... things didn't seem to go anywhere... maybe he's just not used to doing such a grand project... yes, he was a very ambitious director, with very big films on his resume... but I'm not sure if he had done something on this scale before(or after), so that might be it. Of course, this doesn't mean that the film is bad... not by a long shot. There were just a few scenes that seemed to have little importance... and the voice-over narration seemed tacked on, if you ask me. Like he was trying to implement it, but sufficed to just throwing it in here and there. The plot is great. The pacing is good, but not perfect. The acting is flawless. The characters are well-written and credible. The music/score is excellent. Kubrick always manages to put in music that sounds really good in scenes that contain disturbing and unpleasant visuals to great effect. The film as a whole is a little flawed but I didn't find anything horribly wrong with the film. Great film with great theme. Any fan of Kubrick should enjoy this. This is possibly the most spoofed/referenced war film of all time... and it's the film that gave R. Lee Ermey the character that he would play for basically the rest of his career. That says something about how crafty and influential this film is, I think. I recommend this film to any fan of Stanley Kubrick and/or war movies. 9/10  "
84241,tt0062622,abgkasjlkasjla,denmark,10,I am speechless...,"Having just seen this fantastic film, I'm left puzzled, amazed, impressed and in complete and utter awe of Kubrick's cinematic genius. I had not expected anything to impress me as much as A Clockwork Orange, but I was pleasantly surprised. While I do find A Clockwork Orange to be a better film, I must say that this comes incredibly close... and what determines this might be the fact that, while I fully understood A Clockwork Orange(at least after my second viewing) I'm quite confused by this film. I don't entirely understand the ending, and a few various things throughout the film, but that doesn't lower my score. Not the slightest. Do you know why? Well, partly because Arthur C. Clarke, the co-writer of the screenplay once said: ""If you understand 2001 completely, we failed. We wanted to raise far more questions than we answered."" And partly because the very visuals of this film warrant a perfect rating of 10. I would be lying if I claimed to ever have seen such beautiful visuals as the ones throughout the film, and in particular the very end... stunning. Simply stunning. Something that I found interesting was how many times Kubrick simply used the visuals to tell the story(as opposed to dialog) and how often he simply let us enjoy the sight of the spacecrafts or the planets... instead of giving us a few unsatisfying quick cuts like a typical Hollywood director would have done. Kubrick is in no hurry to tell us this story... in fact, he wants us to relax and just be whisked away on this journey. He sets a mood like no other director has ever done, and he never breaks this mood. His use of music, while not as deliciously ironic as it is in A Clockwork Orange, is great. There are two scenes which have been referenced so many times, both content-wise and music-wise, in so many different mediums that I doubt anyone can keep track of how many parodies or references there are to them... this is, of course, the famous Dawn of Man scene, and a recurring external space scene. The plot is great. The pacing is good, considering that it's Kubrick... usually, his films are slower, but this one never really felt that slow. The characters are well-written and credible. The acting is all great. The music/score is great. The visuals of the film are amazing. I know I'm praising every aspect of the film here, but I truly think it is that good; it's one of the greatest films I've ever seen, and definitely the best visually. Finally, I'll just mention that normally I hate science fiction that deals(even slightly) with extraterrestrial activity/life and space travel. I recommend this film to any fan of high-quality science fiction and any fan of Stanley Kubrick. 10/10  "
86041,tt0208092,abgkasjlkasjla,denmark,8,Humorous and stylish British gangster flick," I haven't seen Lock, Stock and Two Smoking Barrels, which makes this the first Guy Ritchie film I've seen, and the only one I've seen so far. I had heard plenty of good things about this film, and I do believe that I've seen some of Lock, Stock and Two Smoking Barrels(though that didn't impress me much, actually), and after seeing some advertisements for this, I was looking forward to seeing it. I must say, it did meet my expectations, though it didn't exceed them. The plot is great, very interesting and constantly developing. It also has a good pace, you're never bored, which can also be attributed to the many quick cuts and great editing. The acting is great, I really enjoyed Brad Pitt and Vinnie Jones, not to mention Jason Statham, though they were all great, I think. The characters were diverse, well-written and credible, not to mention quite entertaining, though at times they became a little lame, in obvious attempts at humor. The action is great, though there is fairly little of it; it's mostly sacrificed for the sake of more humor. Don't get me wrong, the humor is mostly good too, but sometimes it just seems like there is too little action in it, though, when there is action, it's good. The camera work and overall filming style is, well, stylish, and looks very cool. I liked the use of slow-motion, fast-motion and instantly changing angles, not to mention the well-placed quick cuts. The way the diamond constantly changed hands in the film was great, though a fairly basic way to keep the plot going. I liked all of the things that didn't have anything to do with the diamond, like the gypsies and the boxing, but I did think the plot revolved a little too much around the diamond. All in all, a very entertaining film, that couldn't have been much better or much more professionally made, but was lacking a little. I recommend it to fans of British/violent humor, and fans of the actors. I guess people who liked Lock, Stock and Two Smoking Barrels will enjoy this too, though I can't say for sure, as I haven't seen it. 8/10  "
87954,tt0361748,abgkasjlkasjla,denmark,10,"Once upon a time, in Nazi-occupied France...","In case you weren't already sure, no, if you insist on historical accuracy in all films that deal with actual events, this is not for you. Same if you want an action flick, in spite of the fact that the trailers do sort of make it look like one. What we have here is Tarantino(who's *probably* pretty much completely out of his mind), one of the world's biggest movie buffs, doing his thing, an homage to a sub-genre apparently called ""macaroni combat""(like ""spaghetti Western""), flicks that deal with the cathartic fantasy of the Third Reich's ""finest"" getting a big ol' spoonful of their own medicine shoved directly into their mouths. He yet again takes something he loves, a certain type of cinema, and makes something new and different out of it, without distorting it to the point where it is unclear what the root is. This is pure Quentin... full of unexpected twists, it'll make you laugh, squirm in your seat, enjoy the tunes and plain and simple, get you involved and engaged for two and a half hours where, while you can never know quite where the ride that he designed will take you, you're assured it'll be interesting and unforgettable. There are images that will stay in your mind, ideas you can't help but admire, and lines you'll find yourself quoting for a long time. The dialog... it's absolutely incredible, always well-delivered, and the use of properly spoken German, French and Italian, having subtitles and really doing something with that was fantastic. Story and plot are great and well-told, the non-linear time-line that our writer/director masters is used marvelously as usual. This is epic and amazing. Cinematography and editing are spot-on. The acting... Waltz is beyond reproach. He deserved the Cannes win. Pitt is impeccable. Roth, Fassbender, Schweiger... I could keep going. Groth and Wuttke *demand* mention as well. Myers, I realized what he played a mere second before he left the screen. Every performance is so powerful and genuine. Over the top when they need to be(there are a lot of caricatures herein), underplayed when that's the proper choice. The suspense and intensity this accomplishes is magnificent. I urge you to avoid spoilers as best as you can before watching this, and try to forget or avoid what the advertisements show you. When this goes for it, it is nasty, violent, bloody, gruesome, disturbing, has strong language and there's also brief sexuality. If you don't think you have the stomach for this, well, you may be right. I recommend this to everyone who does think that they do, and is into what QT does with the medium. As long as you don't think that this is a realistic portrayal of World War 2. 10/10  "
88606,tt0071853,abgkasjlkasjla,denmark,8,"Not as good as Life of Brian, but worth watching"," This Monty Python film is great, partly because it works on several levels; it works as a straight up typical Monty Python movie(which in itself ensures hilarity) and as a spoof of many of the old ""medieval times"" based films. The plot is pretty good, and less disjointed than that of other Monty Python creations, so if you're looking for a linear time line based film, then this might interest you. The plot does move along a little slowly, though, even for a Monty Python film(slower than Life of Brian, for example), and the film suffers a little under that. The jokes and sight gags make up for it, but it still does seem a little slow, especially on repeated viewings. The acting is good, as it typically is with Monty Python films. I can't really comment on the characters, but I guess they pretty much stay in character all through the film. The humor is good, but not as great as it is in Life of Brian, though that may be because I've seen it too many times. I don't know, I just wasn't really laughing at any point when I saw this. I knew that it was funny, and a few of the gags do stick in my mind as amusing, but when watching it I couldn't even muster up a slight chuckle. In fact, about an hour into the film, I was getting tired with the film, and hoped that it would end soon. I don't dislike the film, nor do I have anything against the humor, I just think I've grown tired with it. When it's not new and in-your-face anymore, it just loses impact, I guess. The film has plenty of entertaining sequences, and the gags and jokes are mostly quite good. It even has a few very memorable scenes, such as the the Black Knight scene, and the witch scene. The dialog is as sharp as the Python's dialog usually are, and there is more good dialog than there is in Life of Brian. All in all, a good Monty Python film, but just slightly inferior to Life of Brian. I recommend it to any fan of Monty Python, and fans of dark and silly humor in general. 8/10  "
89081,tt0119488,abgkasjlkasjla,denmark,9,"Very good, but too slow and overly complicated","I decided to check out this film after hearing many good things about it, among others that it was the best film Curtis Hanson has made... and since Hanson also directed 8 Mile, a movie I enjoyed very much and have seen several times, I thought it would be worth watching. I wasn't mistaken. What I wasn't prepared for, however, was how darn slow it was... it never seemed to take off. Maybe it's the fact that there are almost constantly introduced new characters, maybe it's the fact that half of the actions in the film don't seem to have much of an impact on anything, other than move the plot a little bit forward(a tiny little bit)... I don't know. It never really captivated me, and I found myself often not paying that much attention to it. The film is good, no doubt about it... but it's just so slow... and in the end, it seems unrealistic. The very ending seems to be set up to throw in an action scene. The plot is good, but the pacing is bad. The script is good. The acting is great. The characters are well-written and well-acted. The dialog is well-written and well-delivered. The film has so much going for it, and, luckily, pulls most of if off perfectly. But that pacing is horrendous. I haven't read the novel which this film is based on, but I think that the film does it justice... anyway, that's what the author says on one of the featurettes on the DVD. The dialog has several memorable lines, the characters are conflicted and not immediately likable, but you eventually grow to like them, the script has some great scenes... but the pacing just... no. Maybe it had something to do with how hard it was for me to tell Kevin Spacey's and Russell Crowe's characters apart, partly because they looked alike and partly because both characters acted alike. I liked this movie, but I'm not going to lie and say I wasn't bored out of my mind for about a fourth of the run-time, scattered around the film. Too long and too big, in my opinion... but not bad. I recommend this to fans of Curtis Hanson, neo-noir drama-mystery-thrillers and any of the actors involved in it. 9/10  "
89256,tt0059578,abgkasjlkasjla,denmark,7,A pretty good western," Clint Eastwood is pretty much the king of westerns. And when the western is being directed by Sergio Leone, you know it good spaghetti-western entertainment. However, this one seemed a little repetitive and predictable. At times it seemed to repeat itself endlessly. Either talking or shooting, none of them moving the plot forward or getting any further with the movie. It just seemed to much like filler. The plot is OK, but seems too much like an excuse to put Clint and Lee Van Cleef in some scenes where they could show off their icy stares and their poker-faces. The acting is good enough for a western. The soundtrack is not as good as in ""The good, the bad and the ugly"", but almost. The action seemed a little too repetitive, and lacked the ingenuity of ""The good, the bad and the ugly"". Overall, a pretty good western, but just not as good as the next part of the trilogy(The good, the bad and the ugly). I haven't seen the first part, ""A fistful of dollars"" yet, but I'll see it as soon as I get a chance, so I can find out which part is the best. I recommend this movie to fans of spaghetti-westerns, Clint Eastwood and Sergio Leone. 7/10  "
89303,tt0042876,abgkasjlkasjla,denmark,10,Whom to trust?,"I've wanted to watch this since I first found out it existed. This is the second Kurosawa feature I've seen, the first being Seven Samurai. The man certainly was an artist. The concept smoothly avoids being a gimmick, as it could easily have turned into in the hands of someone not sufficiently talented, and is instead a well-used device, through which base human emotions and responses are explored, as well as relationships, good and evil, and more. Any piece of expression that so skillfully encourages its audience to think - without ever seeming like a lecture - should be respected and appreciated. The story-telling is excellent. The acting is spot-on, from all involved. The minimal cast and amount of settings are well-utilized, and keeps the focus sharp. The plot never loses the viewers' interest, and in fact only gets increasingly deep and fascinating as it goes. While the subject of this is a sexual crime, the way it's handled is immensely tasteful. The visuals are impeccable, and cinematography and editing are amazing. This could arguably, along with much of Hitchcock's work, be cited as the origins of the utter tidal wave of ""twist endings""(often overshadowing all else about those movies, including, but not limited to, consideration being put into ensuring that said surprise even makes sense) that have hit popular cinema in recent years, however, milestones sometimes do cause negatives, and they shouldn't be blamed for that. I recommend this to anyone who enjoys being challenged, and is willing to give the medium of film the chance to prove itself as possessing the potential to be a form of art. 10/10  "
90327,tt0086250,abgkasjlkasjla,denmark,8,"A good, convincing portrayal of a fictional Cubans rise to power in the underworld of America"," After watching this again, I realize that I may have praised this film a little too much. Therefore, this is the more down-to-earth review. A lot of people compare this film to Godfather; granted, there are similarities, but Godfather is the better film. The entire Godfather trilogy(apart from possibly part III) is better than this film, as a whole trilogy and as individual films. Godfather has the better actors, the better script and the better film, as a whole. Sure, Scarface has some good talents, a somewhat good script, and is a pretty good film, but it doesn't compare to the greatness of Godfather. The plot is good, it has a pretty good pace, and it's fairly interesting. The acting is good, with Al Pacino and Michelle Pfeiffer giving pretty good performances, and most of the rest being reasonably good. The thing is, Scarface is more of an action film than a regular crime-drama; it has a body-count several times the size of the one that Godfather has. What you make of that is up to you, but personally I prefer quality over quantity. Every time someone was ""hit"" in one of the Godfather films, it was special, and often unique. There were several actual shoot-outs in this film, and it quickly got fairly uninteresting, as they didn't have the intensity of a regular action film, and felt a little out of place in a crime-drama. The overall tone of this film was more violent than Godfather's tone, and, at times, the film felt like it was mainly about putting in as much graphic violence as possible. It was good, no doubt about that, it just wasn't great. I have yet to see the original Scarface, but I hear it's much better, so I'll have to check it out soon. All in all, a pretty good gangster film, pretty good crime-drama, but just inferior to Godfather. Watch it to get a good, gritty and nothing less than realistic view on organized crime in the 1980's. Listen to the great theme, maybe be shocked at the gruesome violence, and learn, that ultimately, crime doesn't pay. I recommend this to fans of gangster movies and crime-dramas, fans of Brian De Palma(I guess, though I can't really remember what else he's done that's worth watching), and people who are interested in films about organized crime. Worth checking out. 8/10  "
91422,tt0017136,abgkasjlkasjla,denmark,10,Spellbinding from start to finish,"I base this upon the version that runs just under two hours in length. This is my second exposure(the title that was the first is M, from 1931) to German expressionism and Fritz Lang, the cinematic genius, and it most definitely will not be the last of either. I could not take my eyes off this for a second. It would be a lie to claim that I could remember when I was last this engaged by a motion picture that I was watching, and I'm honestly not certain that I expected it to be as excellent in that aspect as it turned out to be. Cinematography is masterful. This is incredible for how influential, groundbreaking and unconventional it was when they made it, but not only that. The pacing is spot-on, this is never boring. It is not for everyone, and casual movie-goers may not be as captivated by this as I was. It's cut surprisingly fast, and it all goes far beyond what you'd expect them to be able to accomplish at the time. Heck, not only that, the effects are genuinely marvelous, and this holds amazing images that I've not seen anywhere before or since. This, with the futuristic city and the massive machines, has an astonishing, often bleak, look and feel, and builds atmosphere remarkably well. The moral holds up to this day, as does the commenting on industrialism(to an extent) and capitalism(much moreso). This is a silent film(for those unaware, dialog is handled by a black screen with white text on it, and in this, so were a number of stage directions), and apart from some sound-work, all of which is impeccable, the audio side is exclusively music, and this sweeping, instrumental score fits every frame of this, and probably had its role in me being so drawn into this. This is set in the aptly named Metropolis, decades from now(it was when this was made), where the working force, that keeps it all running, is living underground, while the high class spend their lives in carefree enjoyment. Until one day, where the son of the man who planned it falls for a woman trying to improve the situation for the laborers. The acting is impeccable. I recommend this to anyone whose appreciation of the medium goes beyond taking in one or two now and then. 10/10  "
